nct_id,phase,why_stopped,start_date,category,phase_clean
NCT02609984,PHASE2,This study did not meet the efficacy objective,2015-04-29,efficacy,PHASE2
NCT04498247,"PHASE1, PHASE2",The study was terminated based on an interim assessment of immunogenicity,2020-08-27,unknown,PHASE2
NCT02319200,PHASE3,Decision of investigator,Jun-15,unknown,PHASE3
NCT04497038,"PHASE1, PHASE2",loss of funding,2021-08-06,unknown,PHASE2
NCT04079738,"PHASE1, PHASE2",Funder requested termination due to halting internal development of TAK-659,2019-09-20,unknown,PHASE2
NCT05070728,PHASE3,No longer pursuing indication,2021-10-13,unknown,PHASE3
NCT05149287,PHASE2,Funding stopped,2021-12-28,unknown,PHASE2
NCT03562949,PHASE3,Insufficient investigational product,2018-12-06,unknown,PHASE3
NCT05280158,"PHASE1, PHASE2",Moderna Bivalent COVID-19 Vaccine became available to the public in Sept 2022.,2022-03-10,unknown,PHASE2
NCT02261883,PHASE2,Sponsor Decision,2015-07-29,strategy/business,PHASE2
NCT05271929,PHASE3,"Due to the significant decline in the number of newly diagnosed infections and the difficulties in opening new centers in the outgoing pandemic, recruitment declined. The Data Safety Monitoring Board recommended to stop the trial.",2022-04-01,safety,PHASE3
NCT02332928,PHASE3,Lack of efficacy,2015-03-25,efficacy,PHASE3
NCT03166800,"PHASE1, PHASE2",Lack of adequate funding,2018-09-15,unknown,PHASE2
NCT06161792,PHASE2,"Difficulty in recruiting breast cancer patients, leading to a slow rate of case enrollment.",2019-11-07,enrollment,PHASE2
NCT04066244,PHASE2,Study terminated after assessment of potential benefit-risk from available data,2019-12-30,unknown,PHASE2
NCT02618499,PHASE3,Futility suggested by DSMC,May-16,unknown,PHASE3
NCT04251533,PHASE3,The study was terminated following a strategic decision to halt recruitment due to persistently slow enrollment. This decision was not driven by any new or unexpected safety concerns.,2020-06-08,safety,PHASE3
NCT04356352,"PHASE2, PHASE3",feasibility of enrollment,2020-09-09,enrollment,PHASE3
NCT05785819,PHASE2,Veralox Therapeutics Business Decision.,2023-09-26,strategy/business,PHASE2
NCT02760719,PHASE2,No relevant data,Dec-15,unknown,PHASE2
NCT03219164,PHASE3,Study was terminated early by sponsor due to the challenges and risks introduced by Coronavirus disease 2019 (COVID-19) pandemic.,2017-11-28,unknown,PHASE3
NCT05588609,PHASE2,Merus terminated the study early due to changes in organizational priorities.,2022-11-17,unknown,PHASE2
NCT04584684,PHASE2,"The team decided to terminate the trial in order to start a new trial, unrelated to safety reasons",2020-12-18,safety,PHASE2
NCT03555149,"PHASE1, PHASE2",The Sponsor made the decision to terminate the study due to start up and recruitment issues caused by limited resource availability at the treating centers.,2018-09-27,enrollment,PHASE2
NCT05796765,PHASE2,Study discontinued early by Sponsor,2023-03-24,unknown,PHASE2
NCT02608411,PHASE2,Safety results (applied in METIV-HCC trial) have led early termination,2016-02-19,safety,PHASE2
NCT04543409,PHASE3,"High-level results from the MESSINA Phase III trial showed that AstraZeneca's Fasenra (benralizumab) did not meet one of the two dual-primary endpoints. Given the lack of clear benefit in this patient population, study has been terminated.",2020-09-22,enrollment,PHASE3
